0	1547	0.183376
0	2232	0.050151
0	3851	0.152832
1	2768	0.160167
2	27	0.242642
2	2229	0.022009
2	3071	0.040830
2	3895	0.146201
2	4548	0.032542
2	4989	0.080737
3	770	0.064893
3	3068	0.099121
3	3921	0.045379
3	4656	0.072031
4	4604	0.304135
5	279	0.247926
5	937	0.100981
5	2336	0.126336
5	2602	0.015269
5	2603	0.093387
6	2219	0.001643
6	3823	0.027824
6	4948	0.014761
7	1602	0.017041
8	4086	0.051240
9	123	0.013902
9	147	0.011520
9	237	0.683499
9	316	0.024623
9	445	0.071935
9	558	0.182705
9	598	0.094840
9	676	0.035102
9	845	0.101488
9	846	0.074294
9	932	0.068039
9	934	0.360362
9	1270	0.034604
9	1352	0.147560
9	1400	0.074812
9	1605	0.146930
9	1813	0.051121
9	1974	0.222128
9	2242	0.033312
9	2277	0.043457
9	2465	0.164883
9	2489	0.251363
9	2527	0.007231
9	2553	0.298236
9	2565	0.074654
9	2822	0.008999
9	2867	0.021346
9	2901	0.108835
9	3044	0.220939
9	3494	0.042908
9	3501	0.006632
9	3746	0.002023
9	3771	0.061194
9	3778	0.006517
9	3892	0.027218
9	4023	0.352792
9	4058	0.232491
9	4153	0.190327
9	4167	0.031015
9	4233	0.077601
9	4282	0.047033
9	4324	0.142815
9	4408	0.071854
9	4553	0.110179
9	4601	0.075845
9	4681	0.004007
9	4981	0.057561
10	123	0.127637
10	147	0.033448
10	316	0.134145
10	445	0.102159
10	558	0.043703
10	598	0.116431
10	676	0.018149
10	845	0.058001
10	932	0.212089
10	1270	0.176727
10	1352	0.040098
10	1400	0.026003
10	1605	0.223841
10	1813	0.043134
10	1974	0.116050
10	2242	0.313426
10	2277	0.088829
10	2465	0.107091
10	2489	0.195670
10	2553	0.057903
10	2565	0.257662
10	2822	0.050822
10	2867	0.168614
10	2901	0.115270
10	3044	0.241880
10	3494	0.065873
10	3501	0.024312
10	3778	0.300079
10	3892	0.252733
10	4023	0.015977
10	4058	0.212915
10	4153	0.102466
10	4167	0.056555
10	4233	0.096652
10	4282	0.032998
10	4324	0.154179
10	4408	0.036739
10	4601	0.059246
10	4681	0.025632
10	4981	0.020768
11	554	0.053871
11	1348	0.018586
11	1538	0.237305
11	2611	0.010889
11	3151	0.013476
11	4780	0.068408
12	89	0.418328
12	90	0.273343
12	2300	0.115342
12	4445	0.048319
12	4685	0.138538
12	4984	0.045992
13	973	0.026431
13	3020	0.087824
14	670	0.028026
15	460	0.016533
15	3149	0.131732
16	3399	0.013407
17	1668	0.157731
17	1805	0.017925
17	2423	0.136677
17	3435	0.007745
18	1791	0.299782
18	2329	0.005396
19	1087	0.073723
19	4032	0.019384
20	763	0.027452
21	3619	0.159849
22	394	0.131921
22	474	0.106875
22	494	0.342360
22	519	0.102015
22	521	0.142601
22	895	0.009814
22	977	0.014491
22	1060	0.073441
22	1298	0.008146
22	1331	0.007247
22	1475	0.022898
22	1502	0.061882
22	1555	0.171301
22	1782	0.085172
22	1893	0.140887
22	1951	0.005334
22	1983	0.017175
22	2059	1.000000
22	2493	0.022857
22	2539	0.220687
22	2846	0.013407
22	2862	0.611884
22	2905	0.005557
22	2955	0.204438
22	2956	0.007508
22	3007	0.000417
22	3097	0.256485
22	3255	0.090114
22	3523	0.019891
22	3636	0.017809
22	3686	0.049707
22	3764	0.244215
22	3834	0.171311
22	3900	0.044487
22	3960	0.080405
22	4015	0.086614
22	4157	0.060253
22	4158	0.116279
22	4269	0.010496
22	4530	0.075674
22	4771	0.141590
22	4946	0.036283
23	808	0.485729
23	3241	0.086031
23	3448	0.210057
23	4104	0.137757
23	4354	0.099131
24	613	0.003606
24	3015	0.137754
25	39	0.179119
25	3944	0.259530
26	2437	0.206571
27	2	0.177808
27	554	0.388412
27	2229	0.136184
27	3071	0.233683
28	432	0.411021
28	678	0.109925
28	2634	0.068768
29	1164	0.177203
30	1085	0.219776
30	2134	0.008012
31	164	0.104899
31	995	0.028508
31	1422	0.099285
31	1937	0.026024
31	2666	0.120604
31	2961	0.038107
31	3029	0.039865
31	3319	0.026322
32	973	0.007705
33	1489	0.100259
33	2772	0.025316
34	633	0.105306
34	1427	0.071475
34	1657	0.355665
34	3307	0.032856
35	339	0.078989
35	780	0.127036
35	827	0.012023
35	1312	0.063768
35	1986	0.089781
35	2455	0.288810
35	2524	0.059951
35	2833	0.041000
35	3077	0.188180
